観光地名,市町村,住所１（地番まで),説明,電話番号,営業時間,定休日,料金,ホームページURL
みさと公園,三郷市,高州3丁目地内,バーベキュー広場、こどもの砦、展望台、自由広場及び湿地を利用した自然観察園など子どもはもちろん、大人も楽しめる公園です。小合溜をはさんで東京都の水元公園と向かい合い、一体的な美しい水辺空間を形成しています。カルガモ、キジバト、シジュウカラ、ムクドリなど様々な野鳥観察も体験出来るほか、お花見スポットとしても知られています。,048-955-2067（みさと公園管理事務所）,＜炊飯場＞９：００～１６：００,＜炊飯場＞毎週月曜日（休日の場合は翌日）、１２/２９～１/１,無料,http://www.city.misato.lg.jp/kankoukyoukai/misatopark.html
荒川大麻生公園,熊谷市,大麻生753,荒川中流左岸の河川敷、熊谷市に位置する県営公園です。約１７０ヘクタールの広大な区域のほぼ半分は、県内でも有数の野鳥の渡来地である「野鳥の森」と呼ばれる広い樹林や、河原特有の草花が咲き誇る草地が占め、５０種類近い希少動植物が確認されています。,048-645-0570（（財）埼玉県生態系保護協会）,＊＊＊,＊＊＊,＊＊＊,http://www.ecosys.or.jp/eco-saitama/
埼玉県農林公園,深谷市,本田5768-1,園内には、埼玉の農林業に親しめる施設がいっぱい。　四季折々の農業の姿に触れられる畑や温室、農産物直売所、公園食堂、林業の様子や技術を分かりやすく紹介している木材文化館、広々とした芝生広場、ミニＳＬなどがある。※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設,048-583-2301,9:00～16:30（4～9月：9:00～17:30）,12/29～翌1/3,入園料：無料研修室等使用料：○第1研修室　半日3，600円～○第2研修室　半日1，000円～○調理実習室　半日1，300円～○木工工作室　半日1，000円～,http://www.sainourin.or.jp/nkouen/
種足ふれあいの森,加須市,上種足914,環境科学国際センターに隣接している公園です。林、草地、湿地、水辺、池などの、生き物たちと気軽にふれあえる施設で、音の遊び場、森の遊び場、池や湿地を渡るゴンドラ、炭焼き小屋など、みんながのびのびと遊びながら学び、池の水をきれいにするための水の循環施設も併設されています。,0480-73-1111（騎西総合支所）,常時開放,なし,無料,http://www.kankyou.pref.saitama.jp/
上尾丸山公園,上尾市,平方3326,上尾丸山公園は「水と緑の調和」をテーマに昭和５３年に開園した総合公園です。公園内を横断する約２．４ヘクタールの釣りも楽しめる大きな池、子供たちに大人気な、大型遊具、芝生広場、滑り台、砂場、小アスレチック、小動物コーナーなどがあります。また、花の名所としても有名で春にはソメイヨシノ、秋にはコスモスも花を咲かせます。,048-781-0163（丸山公園管理事務所）048-725-4844（丸山公園小動物コーナー）,＜小動物コーナー＞４月～９月／９：００～１６：３０　　１０月～３月／９：００～１６：００,なし,無料,http://www.city.ageo.lg.jp/kakubukakukaichiran/toshiseibi/midorikouen/tanto/maruyama/index.html
北本自然観察公園,北本市,荒井5-200,林や草原、谷地部に広がる湿地など、荒川に隣接した豊かな自然環境を最大限に生かし、キツネやメダカなど野生生物のくらす里山の環境を保全しています。園内には、北本市の天然記念物「エドヒガンザクラ」があり、ソメイヨシノよりも１週間ほど早く毎年３月中旬～下旬に開花します。また、７月下旬にはヘイケボタル観察会も開催しています。,048-593-2891（自然学習センター）,９：００～１７：００（季節変動あり。要問合せ）,月曜日　祝日の翌日（土日祝の場合は開館）、春・夏休みは臨時開館日あり,無料,http://www.saitama-shizen.info/
花崎北公園,加須市,花崎北2-1,加須市の東、花崎駅近くにある花崎北公園は、約２ヘクタールの広い園内は多目的広場になっており、スポーツや散策を楽しむ格好の場となっています。グランドの南側に植えられた、樹齢約２５年、約３０本のさくらが花開く４月初旬には、花を愛でる多くの市民で賑わいます。,0480-62-1111（加須市役所/まちづくり課）,常時開放,なし,無料,http://www.city.kazo.lg.jp/hp/page000002600/hpg000002501.htm
埼玉スタジアム２００２,さいたま市,緑区中野田500,２００２年のワールドカップサッカー大会では、準決勝を含めて４試合の会場になりました。６３，７００人の観客席を有する日本で最大のサッカー専用スタジアムとして知られています。サッカー専用スタジアムのため、観客とフィールドの距離が近く、選手の激しい動きを直接感じ取ることが出来ます。※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設,048-812-2002,-,-,各イベントにより異なりますので、詳細はお問い合わせ下さい。,http://www.stadium2002.com/
アクアパーク,吉川市,中井90番地,屋外ステージ、バスケットコート、スケートボード場、多目的ステージなど、若者を中心とした施設で充実しています。現在、玉葉橋の下流の区域について、ファミリースポーツ広場や野の花広場のほかに、自由広場、水辺の広場、魚つり広場、駐車場などの整備を行なっています。,048-982-9901（吉川市都市建設部道路公園課）,９：００～２０：００,なし,無料,http://www.city.yoshikawa.saitama.jp/11，985，24，369.html
智光山公園,狭山市,柏原561,総面積５３，８ヘクタール、東京ドーム約１１個分の広大な敷地に、アカマツ、コナラ、クヌギなど武蔵野の豊かな自然をそのまま生かして作られた大規模な都市公園です。園内には、こども動物園や花菖蒲園、ピクニック広場や桜の園など自然と触れ合える様々な施設が併設されています。,04-2953-5111,８：３０～１７：００,無し,＜こども動物園＞大人（高校生以上）/２００円小人（小・中学生）/５０円未就学児/無料,http://www.city.sayama.saitama.jp/kakuka/kensetu/kouen/hp/park/shokai/chikouzan/chikouzan.htm
仙元山見晴らしの丘公園,小川町,大字小川１４４０,ローラーすべり台やアスレチックジム、展望台、あずまや、休憩所等が併設された町民からのアイデアを募集しそれを基にふるさと創生事業で造られた施設です。標高２９９ｍ、仙元山の中腹、小川町が一望できる高台にある自然の地形をそのまま活かした公園です。,0493-73-1000（仙元山見晴しの丘公園）,（通常時）９：４５～１６：３０（６月～８月）９：３０～１７：３０（１２月～２月）１０：００～１５：３０,・月曜日（祝祭日を除く）・１２月２８日～１月４日,入園無料＜ローラーすべり台利用料＞・大人（高校生以上）２００円/子供（小・中学生）１００円/（未就学児）無料,http://sengenyama-miharashi.jp/
川口市立グリーンセンター,川口市,大字新井宿700,熱帯植物が通年観賞出来る大温室やバードセンター、花菖蒲園、ミニ鉄道、アスレチックなど様々な施設があり、隣接する流水プールは夏季（７月中旬～８月下旬）はプールとして、冬季（１２月下旬～翌年２月）はアイススケート場として利用出来ます。また、４月中旬頃から園内に自生しているつつじが見頃を迎えます。,048-281-2319,９：００～１７：００（入園は１６：００まで）,・毎週火曜日（祝日のときは開園）・祝日の翌日（土・日曜のときは開園）,＜入園料＞大人３００円/子供１００円＜流水プール＞大人５２０円/高校生３１０円/中学生以下１００円＜アイススケート場＞大人５２０円/高校生３１０円/中学生以下２１０円,http://greencenter.1110city.com/index.html
大井弁天の森,ふじみ野市,大井263-1,上野不忍池の弁財天を勧請したものと伝えられ、弁天堂の前の池にはきれいな清水が湧き、最盛期の明治中期には、縁日ごとに露店が並び、遠近から参詣の老若男女で賑わったと言われています。現在は隣接する東原親水公園とともに、桜の花見スポットとしても親しまれています。,049-220-2067（ふじみ野市役所/都市計画課）,常時開放,無し,無料,http://www.city.fujimino.saitama.jp/facility/park/benten.html
山崎公園（せせらぎ菖蒲園）,富士見市,大字水子184,せせらぎ菖蒲園の愛称で親しまれている山崎公園には、およそ１千平方メートルの菖蒲田に、江戸系、肥後系、伊勢系等の品種が６０種類、約５千株植えられ、６月上旬から色とりどりに咲き始めます。園内をせせらぎが流れ、お子さんから大人まで幅広い世代が楽しめる市民の憩いの場となっております。,049-251-2711（富士見市役所/産業振興課）　,９：００～１７：００（夏期は１９時まで）,なし,無料,http://www.city.fujimi.saitama.jp/35miru/02midokoro/park/2010-0606-1111-210.html
西城沼公園,蓮田市,城637-1,蓮田市の中心市街地から北東へ約２ｋｍにある、屋敷林と農地に囲まれた公園です。フィールドアスレチックや迷路などの施設もあり、池では釣りも楽しめます。ウォーキングロードも整備されており、ウォーキングされている方も多い公園です。,048-769-4142,＊＊＊,なし,無料,http://www.city.hasuda.saitama.jp/city/outline/facility/koen/nishijonuma.html
県民の森,横瀬町,芦ヶ久保字丸山北平896,奥武蔵丸山の北側にあり、面積は約６８ヘクタールあります。森の中には、森林や林業の映画を見たり、話しも聞ける。森林学習展示館をはじめ、展望台、中央広場、オリエンテーリングコースなど、いろいろな施設が併設されています。更に、障害の有無や年齢にかかわらず森林を楽しめるようウエルカムストリートも誕生しています。,0494-23-8340（県民の森管理事務所）,９：００～１６：３０,１２月から翌年２月末まで※３月１日～１１月末日の毎日営業です。,＊＊＊,http://www.chichibu.ne.jp/~ssinrinp/kenmori.html
彩の国ふれあいの森,秩父市,中津川447番地,秩父市中津川地区に約３０００ヘクタールの自然を生かして作られた施設です。炭焼きや原生林散策などができる７つの森のゾーンや、木工工作をしたり、ビデオなどを通して森林の働きなどを学んだりできる森林科学館などが併設されています。また、定期的に体験イベントも開催されています。,0494-56-0026（ふりあいの森管理事務所）,９：００～１７：００,１２/２９～１/３,無料※森林科学館の学習室、木工工作室の借上のみ有料,http://www.chichibu.ne.jp/~furemori/
美の山公園,皆野町,皆野・秩父市黒谷,「埼玉県に桜の名所をつくろう」という発想から、秩父市と皆野町にまたがる蓑山（みのやま）に、１０年の年月をかけ約８，０００本の桜を植栽し、昭和５４年４月に開園しました。その後もツツジ・アジサイなどを植栽し、花の名所として親しまれています。７０種類の桜も植樹されており、お花見の時期には多くの花見客で賑わいます。,0494-62-1462（皆野町役場）,常時開放,なし,無料,http://www.pref.saitama.lg.jp/site/minoyamakouen-top/
雀川砂防ダム公園,ときがわ町,大字日影636-1,緑豊かな山並と雀川の清らかな水を活かして整備された公園。野外ステージのあるお花見イベント広場、水遊びのできる渓流広場、さいたま新都心方面を一望する展望広場の３つのゾーンからなっています。６月下旬から７月上旬にかけてはアジサイが開花し、多くの人を楽しませています。,0493-65-1521（ときがわ町役場　建設課）,通年,無し,無料,http://www.town.tokigawa.lg.jp/forms/info/info.aspx?info_id=11968
行幸湖・権現堂大噴水,幸手市,権現堂１０１４番地,　行幸湖は、大規模な県営公園として整備が進められています。権現堂大噴水（スカイウォーター１２０）は、１２０年を迎えた埼玉県を象徴するために、噴水吹き上げ高も１２０フィート（３６．６ｍ）で迫力満点です。また、水辺の遊歩道など、うるおいとやすらぎにあふれた空間が訪れる人を優しく迎えてくれます。,0480-43-2895（権現堂調節池管理所）,＊＊＊,なし,無料,http://www.satte-k.com/kanko/miyukiko/index.html
オオムラサキの森活動センター,嵐山町,菅谷829-1,雑木林の素晴らしさを知ってもらうための場です。４つの区域（保全観察林、展示見本林、実験林、観察林）に分かれています。展示見本林の中には、オオムラサキの森活動センターがあり、そこにはオオムラサキの生態や森作りの活動を知ることのできるビデオや、オオムラサキの四季の営みがわかるしくみになっています。,0493-62-8485,８：３０～１７：００,・月曜定休・１２月～１月,無料,http://www10.ocn.ne.jp/~sikisai/mori.html
八丁湖公園,吉見町,黒岩,周囲がおおよそ２ｋｍと小さめの人造湖「八丁湖」に隣接する公園です。山々や豊かな自然に恵まれた美しい湖で、遊歩道が整備されており、ジョギングやウォーキングが楽しめます。また、「八丁湖」は春は桜、秋は紅葉も有名で、紅葉の見頃は例年１０月中旬から１１月中旬です。,0493-54-1511（吉見町役場）,常時開放,無し,無料,＊＊＊
埼玉県自然学習センター,北本市,荒井5-200（北本自然観察公園内）,北本自然観察公園内にある自然学習センターは、自然とのふれあいや環境教育を目的として、土曜・日曜・祝日を中心に、さまざまな自然観察・体験イベントを開催しています。館内には、自然や環境問題に関する展示のほか、自然系書籍が充実した図書情報コーナーがあります。スタッフが常駐しており、公園内の自然観察情報を提供しています。ホームページには、開館日に毎日更新するコーナー「公園日記」があります。,048-593-2891,9:00～17:00（季節変動あり。要問合せ）,月曜日（祝日の場合は開館）、祝日の翌日（土日祝の場合は開館）春・夏休みは臨時開館あり,無料,http://www.saitama-shizen.info/
川越水上公園,川越市,池辺880,県内３番目の大型レジャープールです。流水プール・造波プールなど９種類のプールがあるほか、ウォーキングコースやボート乗り場、自由広場、テニスコート、ドッグランなどの施設が整備されています。また、フリーマーケットが定期的に開催され、大変な賑わいをみせています。,049-241-2241（公園事務所）,１０：００～１７：００（夏季プール時は９：００～１７：００）,プール期間中は無休※その他は月曜（休日の場合は翌日）,＜プール利用料＞大人７００円/子供２００円,http://www.parks.or.jp/koen_main/kawagoe-suijo.html
しらこばと水上公園,越谷市,小曽川985,さいたま市岩槻区と越谷市にまたがる公園。南国をイメージした「さざなみプール」や外からのプールの中を見ることができる「もぐりプール」など９つのプールが設置されています。また、貸自転車サービスがあるほか、定期的にイベントも開催されています。,048-977-5111（しらこばと公園管理事務所）,９：００～１７：００※季節、施設によって利用時間が異なりますので、詳細はお問い合わせ下さい。,・毎週月曜日（休日のときは翌日）・１２/３１、１/１・プール期間中は無休、冬・春休み中は月曜日も開園,＜プール利用料＞大人７００円/子供２００円　※その他はお問い合わせ下さい,http://www.parks.or.jp/koen_main/shirakobato-suijo.html
加須はなさき水上公園,加須市,水深1722,県営の水上公園として４番目に誕生したこの公園は、夏にはスライダープールやさざなみプールなど６つのプールで楽しめるほか、自然観察園や芝生広場、遊具、ボート、パターゴルフ、貸し自転車など年間を通して楽しめる施設になっています。また、毎年「ルアーフィッシング大会」も開催されています。,0480-65-7155（加須はなさき公園管理事務所）,１０：００～１７：００※夏季プール時/９：００～１７：００,月曜日（休日の場合は翌日）,＜公園＞無料＜プール＞大人７００円/小人２００円そのほか各種遊具やボートなども有料,http://www.parks.or.jp/koen_main/kazohanasaki-suijo.html
狭山市ふれあい健康センター　サピオ稲荷山,狭山市,稲荷山1-12-3,温水プールを中心に「市民の健康づくりとふれあいの場」となることを目的とし、１９９８年にオープンした健康増進施設です。「水泳教室」や「トレーニング講習」などの各種教室から、企画セミナー、カラオケ大会、落語まで、期間限定イベントなど、たくさんの催し物を毎月開催しています。,04-2953-0577,１０：００～２２：００（トレーニングルーム・研修室・会議室は午前９時～午後１０時まで）,・毎月第１月曜日　※祝祭日の場合にはその翌日以降最初の平日　・１２月３０日～１月２日（４日間）,※詳しくは公式ＨＰをご確認下さい,http://sports.geocities.jp/sapioinariyama/
さいたま水上公園,上尾市,日の出2,県営水上公園として最初に建設された大型レジャープールです。６つの個性あふれるプールがあります。園内には売店やレストラン、卓球場などがあり、夏場は大変な賑わいを見せています。また、イベントや教室などが定期的に開催されています。,048-773-6711,＜夏季プール＞９：００～１７：００,毎週月曜日（休日のときは翌日）、夏季プール期間中は無休,＜夏季プール＞大人７００円/中学生２００円,http://www.parks.or.jp/koen_main/saitama-suijo.html
花の里緑道,行田市,大字野地内、鴻巣市屈巣地内,ＪＲ鴻巣駅前の北東１．５ｋｍに位置し、鴻巣市、行田市境から上越新幹線に沿った延長１．５ｋｍ、幅員２５ｍの遊歩道と自転車道を持つ緑道です。花と緑が多い道沿いでは、彫刻も５０点ほど設置されており、のんびりとした散策が楽しめます。,0495-22-3414（清香園）,常時開放,なし,無料,http://www.pref.saitama.lg.jp/page/910-20091203-33.html
新座緑道,新座市,新塚,和光樹林公園に隣接した東京都の長久保緑道を通り、再び県に入った場所から、新座市の栄緑道の手前の県道東京朝霞線までの、延長４８０ｍ、幅員１０ｍの遊歩道です。快適な歩行者空間の確保と、美しい都市景観の形成など、有機的な利用を図るとともに、災害時には住民の避難路となる緑道として開設されました。,048-477-1111（新座市役所）,＊＊＊,＊＊＊,＊＊＊,http://www.pref.saitama.lg.jp/page/910-20091204-82.html
官ノ倉山ハイキングコース,小川町,大字木部　ほか,標高が３４４ｍの低い山ですが、行程は意外に変化に富み、歩きごたえがあります。低い山といっても眺望は素晴らしく、小学生から登れる手軽なコースとして人気があり、さらに１０分ほど進めば石尊山（標高約３４０ｍ）があります。帰りの小川町駅周辺では、酒造見学や老舗の味などが楽しめる店も点在しています。,0493-72-1221（小川町役場）,常時開放,なし,無料,http://www.town.ogawa.saitama.jp/kankou/kanno-h.html
上尾運動公園,上尾市,愛宕3-28-30,スポーツ施設を備えた公園で、メインスタンドは鉄筋コンクリート３階建て陸上競技場や足にやさしいウレタンチップ舗装の１周８００ｍのジョギングコース、体育館・補助競技場・児童遊園があり、国道１７号線を挟んだ反対側にはプール施設を備えた「さいたま水上公園」があります。,048-771-4245（上尾運動公園管理事務所）,常時開放,なし,無料,http://www.parks.or.jp/koen_main/ageo-undo.html
ときがわトレッキングコース,ときがわ町,大字西平及び大野地内,１０００年以上の歴史を誇る、国宝や国指定の文化財を有する坂東九番札所・慈光寺や東国最古の禅寺・霊山院を経て、日本の天文学を支えた堂平天文台（旧東京天文台堂平観測所）に至る約７．５ｋｍのコースです。堂平山頂は関東一円を一望できる絶景の場所です。,0493-65-1521（ときがわ町役場　産業観光課）,通年,無し,無料,http://www.town.tokigawa.lg.jp/forms/info/info.aspx?info_id=12512
富士見・新河岸川サイクリングコース,富士見市,大字勝瀬地内,富士見市勝瀬の伊佐島橋から、新河岸川に沿って志木市上宗岡の袋橋まで続く、約４．５ｋｍのサイクリングコースです。開設以来、身近なウォーキングやジョギングコースとして親しまれています。さわやかな川風に吹かれながら、季節ごとの風景が楽しめます。,049-251-2711（富士見市役所/産業振興課）,常時開放,なし,無料,http://www.city.fujimi.saitama.jp/35miru/02midokoro/point/2010-0512-1748-139.html
内牧公園,春日部市,内牧2735-1,細長い地形の公園で、公園に沿うように内牧サイクリングロードが通っています。園内には小川があり、夏には家族連れで賑わっています。その他、アスレチック広場・バーベキュー広場・ピクニック広場・じゃぶじゃぶ池・多目的広場・竪穴式住居広場・お花見広場・林間アスレチック広場が併設されています。,048-736-1111（春日部市役所）,＜アスレチック広場・ピクニック広場＞・４月~９月/９:００~１８:００・１０月~１１月/９:３０~１７:００・１２月~１月/９:３０~１６:００・２月~３月 ９:３０~１７:００,１２/３０～１/３,●バーベキュー広場・野外炉（７卓）　１，０００円／卓※予約制,http://www.city.kasukabe.lg.jp/public/info01.nsf/0/ed1690685d6a597649257409008340eb?OpenDocument
利根サイクリングコース,加須市,大越～行田市武蔵大橋（１６．７ｋｍ）,全長１６，７ｋｍのコースで、自然に親しみながら、健康な体づくりができるよう利根川の岸辺沿いにつくられています。広々とした田園美観を眼下に、遠く秩父連山や日光連峰が望めます。また、二つのサイクリングセンターにて自転車の無料貸し出しを行っています。,0480-68-6200（加須サイクリングセンター）048-557-1669（行田サイクリングセンター）,９：００～１６：００※休憩は１７時まで利用可,・月曜日（月曜日が祝祭日の場合は翌日）・年末年始,なし,http://www.pref.saitama.lg.jp/page/910-20091204-109.html
カヌーヴィレッジ長瀞,長瀞町,長瀞９４７－１,カヤック、ラフティングの他、バーベキューガーデンや宿泊コテージも備えた、複合観光施設です。カヤックスクールでは習熟度や経験回数に応じてクラス分けを行い、初体験の方は流れのない静水面で、中上級者は流れの中でと、それぞれのレベルに合わせてインストラクターが指導します。,0494-66-2679,＊＊＊,＊＊＊,・ラフティング体験：７，０００円?・素泊り料金：大人２，５００円/小人１，５００円/幼児５００円,http://www.canoevillage.com/
名栗カヌー工房,飯能市,下名栗１８１７－９,綺麗な自然と触れ合いながらカヌーつくりが楽しめます。名栗湖で自分で製作したカヌー（レンタルカヌーもあり）に乗ることも可能です。初心者の方にはスタッフからのレクチャーもお受けられます。また、テラスも併設しており、バーベキューも楽しめます。（道具類のレンタルサービスもございます）※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設,042-979-1117,９：００～１６：３０,無休※年末年始は休業。詳細な期間はお問い合わせ下さい。,（材料費）１００，０００円～,http://naguri-canoe.com/
アウトドアセンター長瀞,長瀞町,長瀞960-4,ラフティング、リバーブギ、カヤック、キャニオニング、ダッキー、マウンテンバイク等を提供する川遊びの老舗です。参加者にはソフトドリンクやマウンテンバイク１時間無料等のサービスも用意されています。バーベキューや宿泊とのパックもあり大変お得です。緑に囲まれた施設には更衣室やコインシャワー等も充実しています。,0120-66-4162,１０：００～１９：００※（１１月～３月）１０：００～１７：００,・年末年始・（１１月～３月）水曜・木曜定休日,・ラフティング/６，５００円・リバーブギ/７，０００円・ダッキー＆カヤック体験/７，５００円・キャニオニング/１４、０００円,http://www.outdoornagatoro.com/
カヌーテ,長瀞町,長瀞456,ラフティングやカヌー、カヤックの体験や講習を行っています。「カヌー・カヤックの楽園」とも言われる長瀞で、一番最初にラフティングを始めたのも長瀞カヌーテです。湖でのクルージングや川下り、中・上級者向けの流水講習やゲート講習も開催しています。,0494-66-0528,９：００～２１：３０,なし,・ラフティングツアー/６０００円・カヌー/７０００円・カヤック/８５００円,http://www.kanute.co.jp/
かわせみ河原,寄居町,保田原地内,荒川の玉淀大橋下流から宮川まで広がる河川敷で、春から秋にかけては、カヌーやオートキャンプのメッカとしてアウトドアを楽しむ方々で賑わい、バーベキューも楽しめます。冬には白鳥が飛来します。また、埼玉県立川の博物館に隣接しており、ウォーターアスレチックなどの施設も整備されています。,048-581-2121（寄居町役場産業観光課）,（６月～８月）８：００～１７：００（１２月～２月）１０：００～１４：００（その他の月）８：３０～１６：３０,毎週月曜日（ただし、祝日、振替休日、県民の日は開館）・祝日、振替休日の翌日（ただし、土曜日、日曜日、７/２１，７/２２は開館）・１２/２７～１/５,＊＊＊,http://www.yorii.or.jp/~kanko/spot/index.html
ケニーズ・ファミリー・ビレッジ,飯能市,上名栗3196,奥武蔵・飯能市名栗にあるケニーズ・ファミリー・ビレッジは若者からご家族連れまで楽しめるアウトドアライフ派お勧めのオートキャンプ場です。敷地内を流れる名栗川は、夏には川遊びに最適で、道具はレンタル可能なので、キャンプが初めての方でもお気軽に楽しめます。８月１６日は花火大会・灯篭流しが行われています。,042-979-0300,８：３０～１７：３０,毎週水曜日（５月連休・夏休み期間は営業）,（入場料）大人６３０円/子供３１５円（オートキャンプ１サイト）４２００円～（ログハウス）１２、６００円（ＧＷ、夏休み期間中は１、０５０円増）,http://www.kfv.co.jp/
北本市野外活動センター,北本市,高尾9丁目143番地,荒川中流域の自然や武蔵野の雑木林など魅力ある自然環境の『まほろばの郷』の中で、青少年からお年寄りまで幅広い年代層の人々に、野外活動や体験学習等をとおして、市民の生涯学習およびレクリエーション活動の推進ならびに健康増進を目的として建設された施設です。様々なイベントも開催されています。,048-593-0008,午前８：３０～午後１０：００（※キャンプ場を除く）,毎月第４月曜日、年末年始、臨休あり,無料,http://kcoac.ecnet.jp/
